Pricelist,Vendor,Category,Product,Package Name,Inventory,Item Unit,Charge Unit,# of Items,Purchase Price,Retail Price,Margin,Markup
herdshare,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,English Banger Sausage Links,4 links/ pack 14 oz pack,product,pk,pk,1,13,17.94,28,38
herdshare,Red Tail Growers,Organic Vegetables - Leafy Greens,Escarole,each,product,bu,bu,1,1.85,2.48,25,34
herdshare,Little Wings,Organic Vegetables - Other,Fava Beans,1 lb,product,lb,lb,1,2.2,2.95,25,34
herdshare,Camas Swale Farm,Organic Vegetables - Other,Fennel,each,product,ea,ea,1,2.5,3.35,25,34
herdshare,Deck Family Farm,Grass-fed Beef,Flank Steak,1.10 - 1.40 lbs,product,ea,ea,1,21.13,29.16,28,38
herdshare,River Ranch Oregon Olive OIl,Dry Goods,Flavor Infused Olive Oil- Garlic 100mL,3.38 oz. 100mL,product,ea,ea,1,10.95,14.56,25,33
herdshare,River Ranch Oregon Olive OIl,Dry Goods,Flavor Infused Olive Oil- Garlic 250mL,250mL,product,ea,ea,1,21.95,29.41,25,34
herdshare,River Ranch Oregon Olive OIl,Dry Goods,Flavor Infused Olive Oil- Rosemary and Basil 100mL,3.38oz (100mL),product,ea,ea,1,10.95,14.67,25,34
herdshare,River Ranch Oregon Olive OIl,Dry Goods,Flavor Infused Olive Oil- Rosemary and Basil 250mL,250mL,product,ea,ea,1,21.95,29.41,25,34
herdshare,Deck Family Farm,Sausages & Cured Meats,Fresh Garlic Sausage Links,12 oz,product,pk,pk,1,12.68,17.5,28,38
herdshare,Graziers Garden,Organic Vegetables - Herbs,Fresh Lavender,bu,product,bu,bu,1,6,7.98,25,33
herdshare,Graziers Garden,Organic Vegetables - Herbs,Fresh Oregano,each,product,bu,bu,1,2,2.66,25,33
herdshare,Graziers Garden,Organic Vegetables - Herbs,Fresh Rosemary,each,product,bu,bu,1,2,2.66,25,33
herdshare,Graziers Garden,Organic Vegetables - Herbs,Fresh Sage,each,product,bu,bu,1,2,2.66,25,33
herdshare,Little Wings,Organic Vegetables - Leafy Greens,Frisee Lettuce,each,product,ea,ea,1,2.25,3.02,25,34
herdshare,Graziers Garden,Organic Fruit,Frozen Pitted Cherries,lb,product,lb,lb,1,10,13,23,30
herdshare,Graziers Garden,Organic Fruit,Frozen Strawberries,~1 lbs,product,bag,bag,1,7,9.31,25,33
herdshare,OGC,Organic Fruit,Gala Apple,ea,product,ea,ea,1,0.5,0.75,33,50
herdshare,Camas Country Mill,Dry Goods,"Garbanzo Beans/ Chickpeas, Organic",3 lbs,product,ea,ea,1,12.5,16.63,25,33
herdshare,Camas Swale Farm,Organic Vegetables - Onions/Garlic,Garlic Scapes,bunch,product,bu,bu,1,2.5,3.33,25,33
herdshare,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Apple Pie,6,product,ea,ea,1,7.5,10.5,29,40
herdshare,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Banana Cream Pie,6,product,ea,ea,1,8,12,33,50
herdshare,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Blueberry Scone,each,product,ea,ea,1,2.9,4,28,38
herdshare,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Brownie Bite with Chocolate Chips,each,product,ea,ea,1,2.5,3.5,29,40
herdshare,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Cheddar Rolls,bag of 4,product,ea,ea,1,6.1,8.25,26,35
herdshare,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Chocolate Cream Pie,6,product,ea,ea,1,8,12,33,50
herdshare,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Cinnamon Roll Pan,6,product,ea,ea,1,6,8.5,29,42
herdshare,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Dinner Rolls,bag of 6,product,ea,ea,1,5.35,7.12,25,33
herdshare,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Half Almond Loaf Sliced,each,product,ea,ea,1,5,7,29,40
herdshare,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Mini Banana Bread Loaf,each,product,ea,ea,1,5,7,29,40
herdshare,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Mixed Berry Pie,9,product,ea,ea,1,17,22.61,25,33
herdshare,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Potato Loaf with Teff,each,product,ea,ea,1,7,9.52,26,36
herdshare,OGC,Organic Fruit,Gold Raspberries,1/2 pt,product,1/2 pt,1/2 pt,1,4.32,5.75,25,33
herdshare,Camas Country Mill,Dry Goods,Golden Flax Seed,3 lb. bag,product,bag,bag,1,14.5,19.29,25,33
herdshare,Deck Family Farms Hyland Artisinal Meats,Organ Meat & Lard,Grass-Fed Organ Blend,1 lb pack,product,ea,ea,1,9.75,13.46,28,38
